last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Cishek, Steve,518553,2018,288,173,.181,.189,-.008,.306,.303,.003,.263,.267,-.004
Clippard, Tyler,461325,2018,285,175,.223,.197,.026,.430,.374,.056,.309,.279,.030
Rodney, Fernando,407845,2018,285,180,.250,.240,.010,.363,.369,-.006,.312,.312,.000
Kelly, Joe,523260,2018,285,180,.234,.247,-.013,.332,.359,-.027,.297,.315,-.018
Cimber, Adam,643256,2018,284,203,.265,.230,.035,.420,.313,.107,.310,.257,.053
Romo, Sergio,489265,2018,284,186,.253,.220,.033,.409,.385,.024,.312,.290,.022
Hernandez, Elieser,622694,2018,284,210,.272,.259,.013,.464,.453,.011,.345,.337,.008
McHugh, Collin,543521,2018,283,163,.176,.205,-.029,.290,.339,-.049,.243,.273,-.030
Montas, Frankie,593423,2018,283,217,.290,.293,-.003,.451,.469,-.018,.342,.351,-.009
Robertson, David,502085,2018,283,166,.183,.197,-.014,.337,.349,-.012,.260,.275,-.015
Oswalt, Corey,621261,2018,282,213,.268,.273,-.005,.475,.457,.018,.346,.342,.004
Colome, Alex,517008,2018,282,186,.230,.238,-.008,.350,.386,-.036,.282,.301,-.019
Faria, Jake,607188,2018,281,195,.248,.265,-.017,.434,.460,-.026,.335,.358,-.023
Diaz, Edwin,621242,2018,280,133,.160,.160,.000,.241,.241,.000,.214,.215,-.001
Davies, Zach,605200,2018,280,205,.269,.275,-.006,.438,.421,.017,.326,.329,-.003
Rodriguez, Richard,593144,2018,279,167,.217,.199,.018,.312,.317,-.005,.262,.255,.007
Greene, Shane,572888,2018,279,192,.268,.248,.020,.465,.433,.032,.335,.322,.013
Garcia, Jarlin,606424,2018,278,210,.239,.281,-.042,.478,.545,-.067,.334,.378,-.044
Parker, Blake,453284,2018,276,184,.249,.248,.001,.443,.448,-.005,.322,.325,-.003
Oh, Seunghwan,493200,2018,274,174,.209,.205,.004,.353,.335,.018,.268,.263,.005
Dyson, Sam,473879,2018,273,194,.228,.234,-.006,.362,.357,.005,.284,.288,-.004
Steckenrider, Drew,608716,2018,272,169,.227,.217,.010,.355,.355,.000,.287,.283,.004
Betances, Dellin,476454,2018,272,126,.186,.170,.016,.300,.254,.046,.259,.238,.021
Holder, Jonathan,656547,2018,272,192,.214,.225,-.011,.319,.397,-.078,.255,.292,-.037
Peacock, Brad,502748,2018,272,153,.226,.216,.010,.431,.361,.070,.310,.283,.027
Floro, Dylan,571670,2018,271,189,.237,.231,.006,.332,.315,.017,.272,.266,.006
Jennings, Dan,543359,2018,271,202,.275,.281,-.006,.421,.408,.013,.327,.329,-.002
Bedrosian, Cam,592135,2018,271,185,.263,.277,-.014,.400,.431,-.031,.324,.343,-.019
Santana, Edgar,650828,2018,270,202,.240,.254,-.014,.378,.415,-.037,.282,.305,-.023
Hunter, Tommy,488984,2018,270,201,.260,.254,.006,.436,.403,.033,.319,.307,.012
Johnson, Jim,462382,2018,268,200,.268,.259,.009,.414,.396,.018,.320,.315,.005
Guerrero, Tayron,594027,2018,268,166,.275,.249,.026,.433,.407,.026,.347,.330,.017
Alexander, Scott,518397,2018,268,183,.239,.237,.002,.345,.323,.022,.295,.289,.006
Jimenez, Joe,641729,2018,267,163,.222,.204,.018,.351,.355,-.004,.279,.275,.004
Biddle, Jesse,592145,2018,266,165,.218,.249,-.031,.336,.370,-.034,.287,.313,-.026
Barnes, Matt,598264,2018,265,136,.204,.193,.011,.322,.321,.001,.279,.277,.002
Garrett, Amir,607237,2018,264,165,.239,.228,.011,.415,.364,.051,.316,.296,.020
Tepera, Ryan,572193,2018,263,167,.237,.225,.012,.422,.382,.040,.318,.301,.017
Alvarado, Jose,621237,2018,263,153,.183,.206,-.023,.249,.286,-.037,.235,.261,-.026
Kintzler, Brandon,445213,2018,263,194,.286,.290,-.004,.432,.439,-.007,.335,.345,-.010
Stanek, Ryne,592773,2018,263,154,.191,.189,.002,.340,.362,-.022,.273,.281,-.008
Moronta, Reyes,606625,2018,262,146,.154,.173,-.019,.235,.268,-.033,.232,.252,-.020
Pagan, Emilio,641941,2018,262,177,.230,.203,.027,.473,.404,.069,.325,.290,.035
Hirano, Yoshihisa,673633,2018,262,178,.209,.238,-.029,.332,.397,-.065,.267,.311,-.044
Davis, Wade,451584,2018,261,155,.185,.178,.007,.343,.279,.064,.272,.249,.023
Watson, Tony,453265,2018,261,174,.224,.220,.004,.332,.362,-.030,.257,.268,-.011
Alvarez, Jose,501625,2018,261,178,.217,.238,-.021,.323,.382,-.059,.270,.301,-.031
Rogers, Taylor,573124,2018,260,167,.206,.202,.004,.294,.315,-.021,.240,.247,-.007
Minter, A.J.,621345,2018,260,167,.244,.238,.006,.329,.338,-.009,.285,.287,-.002
Hembree, Heath,592390,2018,260,156,.233,.204,.029,.423,.380,.043,.315,.292,.023
Carle, Shane,641438,2018,258,188,.221,.273,-.052,.314,.412,-.098,.263,.323,-.060
Shaw, Bryan,543766,2018,257,174,.313,.277,.036,.509,.448,.061,.382,.349,.033
Winkler, Dan,595465,2018,256,161,.228,.231,-.003,.342,.356,-.014,.287,.295,-.008
Crick, Kyle,605195,2018,255,160,.202,.222,-.020,.274,.320,-.046,.257,.286,-.029
Soria, Joakim,465657,2018,255,162,.225,.209,.016,.339,.326,.013,.271,.261,.010
Hernandez, David,456696,2018,254,167,.200,.218,-.018,.365,.353,.012,.276,.283,-.007
Sewald, Paul,623149,2018,253,171,.277,.248,.029,.478,.397,.081,.348,.309,.039
